chest waist hip height weight cup shoe like
86 93 74 167 50 34A 37 3
0 0 0 0 0 0A 0 3
84 62 92 168 52 75B 38 3
0 0 0 155 37 70C 35 2
0 0 0 161 40 32A 36 2
70 64 88 165 46 34B 36 3
83 60 86 165 45 34B 38 3
85 63 86 169 45 32C 38 3
0 0 0 0 0 0A 0 1
75 64 82 162 48 0C 37 1
0 0 0 0 0 0 0 3
86 64 88 166 48 80B 36 2
0 0 0 0 0 0A 0 1
95 80 103 160 60 95B 40 3
88 62 90 170 48 74C 37 2
86 88 60 167 46 1C 37 3
0 0 0 165 50 0δ 0 3
0 67 88 0 0 34A 35 1
82 85 63 163 45 75B 36 2
89 80 69 170 105 0B 39 1
83 60 88 170 47 34B 37 3
88 70 83 163 40 88D 35 3
82 68 85 168 46 0A 37 3
86 62 92 175 48 86A 38 1
85 60 90 175 50 38B 36 1
86 64 86 160 45 75B 37 2
85 60 86 169 46 70C 37 3
82 66 82 165 48 75B 37 3
80 90 60 162 49 80B 36 3
87 68 89 168 49 36C 39 3
78 66 91 164 46 32A 36 1
88 60 90 175 54 76C 38 2
0 0 0 165 47 0A 0 2
80 65 85 158 42 75B 35 1
83 64 90 168 49 0B 38 3
86 66 84 165 46 86D 38 2
83 63 85 167 98 82C 27 1
80 62 90 170 50 75B 39 2
88 60 88 168 46 70B 37 1
82 66 86 164 43 0A 36 2
84 60 88 167 47 70B 36 3
86 62 86 165 48 86C 36 1
0 0 0 165 44 32A 37 2
110 60 90 175 60 90E 38 2
88 64 88 164 49 80B 37 3
88 25 92 158 49 88A 37 3
78 80 62 160 40 75A 36 3
110 83 94 172 75 0C 41 3
81 63 86 170 47 0A 38 2
85 62 86 162 90 75B 36 3
88 64 87 165 52 88C 36 1
88 60 89 171 48 0D 39 1
90 71 91 163 50 90C 0 2
85 64 80 136 47 84B 36 3
83 86 64 172 48 34B 38 3
88 66 86 172 45 36B 38 1
85 58 84 163 40 85C 35 3
84 70 95 176 53 80C 39 3
78 84 63 167 42 0A 39 3
86 63 88 168 46 75C 36 2
88 90 62 174 52 0A 39 1
83 60 86 165 45 34B 38 2
80 70 80 160 45 34B 35 2
85 63 86 169 45 32C 36 1
85 59 87 166 47 34C 38 1
83 60 86 168 48 35C 38 1
85 59 87 166 47 34C 38 1
83 61 89 170 50 75B 38 2
82 64 88 165 45 34A 36 3
0 0 0 163 95 0A 37 3
0 0 0 0 0 0A 0 1
84 62 86 164 48 84A 36 2
80 60 84 169 46 70A 38 2
0 0 0 168 52 70B 38 1
80 65 86 164 45 80A 37 1
84 62 94 163 49 0B 37 2
78 65 85 165 47 0A 37 2
83 61 80 165 46 0A 35 3
0 0 0 0 0 0 0 1
79 62 87 163 42 0B 36 3
82 85 57 165 45 34B 36 2
89 62 90 167 48 0C 38 2
89 61 88 170 51 0A 36 1
75 65 85 165 42 75B 36 3
85 60 88 162 45 35C 35 3
0 0 0 0 0 0 0 1
82 61 81 165 40 75B 37 3
0 0 0 164 47 0B 36 2
0 0 0 169 48 34δ 40 3
80 58 82 163 42 0B 36 3
82 0 0 168 48 0A 36 3
84 62 89 170 54 34δ 39 2
80 61 81 164 46 32B 35 3
86 88 64 175 0 0B 39 1
90 66 86 165 49 75C 38 1
82 60 86 165 43 80C 36 2
89 72 93 166 48 36B 37 1
84 57 0 165 47 0B 36 2
75 63 84 158 39 75B 34 2
36 24 85 179 118 36A 39 1
77 81 56 155 39 65B 35 2
84 63 85 172 45 75A 38 1
82 52 80 165 42 32B 36 2
82 63 88 169 97 70C 38 1
85 68 90 167 48 75B 37 1
85 71 83 162 43 35B 35 1
80 70 84 166 50 75B 37 1
83 64 0 165 45 0A 37 2
82 62 80 172 54 70B 39 2
50 50 50 160 92 34B 36 3
80 58 83 163 45 0A 38 2
83 58 76 160 44 0A 35 3
0 0 0 171 50 0A 39 3
88 70 90 174 55 0A 38 2
0 0 0 167 49 0A 37 1
89 67 87 167 50 75B 38 2
84 70 100 172 106 80B 38 1
82 72 85 164 44 82A 36 3
75 63 85 164 50 75A 37 2
83 62 88 162 90 75B 35 1
85 72 98 160 50 80C 38 1
80 63 90 167 49 80A 39 2
90 60 96 160 42 75E 34 1
88 89 64 172 47 0B 37 3
86 69 89 162 58 75B 37 3
82 64 88 161 47 75B 37 2
82 64 68 162 49 34B 39 1
75 60 80 163 40 75A 35 2
75 65 90 165 51 75C 37 3
94 64 92 169 52 34F 38 1
0 0 0 167 50 80A 37 3
95 75 68 156 45 36E 37 1
89 63 90 160 45 36C 36 2
86 56 86 166 48 85D 37 1
0 0 0 163 45 0A 0 1
81 62 89 170 45 81B 34 1
89 64 90 170 46 89C 35 2
90 63 89 168 47 90B 35 1
89 61 92 165 46 89B 34 3
88 64 88 172 48 88C 35 3
82 63 80 163 47 82B 34 3
88 60 86 170 45 0A 37 1
90 60 91 172 52 0A 38 1
0 0 0 222 0 0A 0 3
87 72 93 171 50 88A 39 3
0 0 0 165 90 34B 36 1
34 46 50 172 50 54D 38 2
74 51 74 163 37 32B 37 3
89 59 90 161 45 36B 36 1
86 65 88 162 44 0C 36 3
0 58 78 158 89 0A 36 3
80 60 90 170 50 85C 37 3
83 80 60 160 41 0A 35 1
91 93 64 173 56 34C 38 2
88 60 90 166 50 75B 38 2
89 59 92 170 49 0A 37 2
86 60 89 168 0 0C 39 2
75 80 60 162 39 75A 35 3
80 64 92 173 52 70B 38 1
80 61 84 165 45 70B 38 1
0 0 0 0 0 0A 0 1
70 60 85 158 43 70B 35 1
86 55 88 164 43 34C 36 1
90 60 89 168 50 0A 37 3
