chest waist hip height weight cup shoe like
86 93 74 167 50 10 37 3
77.0 63.0 90.0 161.5 44.5 10 36.5 3
84 62 92 168 52 12.5 38 3
76.5 62.0 87.0 155 37 15 35 2
76.5 62.0 87.0 161 40 10 36 2
70 64 88 165 46 12.5 36 3
83 60 86 165 45 12.5 38 3
85 63 86 169 45 15 38 3
80.5 64.0 85.0 164.0 48.0 10 36.5 1
75 64 82 162 48 15 37 1
90.5 72.0 95.5 163.0 54.0 11.25 38.0 3
86 64 88 166 48 12.5 36 2
91.5 71.0 96.5 165.0 54.0 10 38.5 1
95 80 103 160 60 12.5 40 3
88 62 90 170 48 15 37 2
86 88 60 167 46 15 37 3
85.5 76.0 75.5 165 50 11.25 35.5 3
85.5 67 88 166.5 75.0 10 35 1
82 85 63 163 45 12.5 36 2
89 80 69 170 105 12.5 39 1
83 60 88 170 47 12.5 37 3
88 70 83 163 40 17.5 35 3
82 68 85 168 46 10 37 3
86 62 92 175 48 10 38 1
85 60 90 175 50 12.5 36 1
86 64 86 160 45 12.5 37 2
85 60 86 169 46 15 37 3
82 66 82 165 48 12.5 37 3
80 90 60 162 49 12.5 36 3
87 68 89 168 49 15 39 3
78 66 91 164 46 10 36 1
88 60 90 175 54 15 38 2
81.5 64.5 87.5 165 47 10 36.5 2
80 65 85 158 42 12.5 35 1
83 64 90 168 49 12.5 38 3
86 66 84 165 46 17.5 38 2
83 63 85 167 98 15 27 1
80 62 90 170 50 12.5 39 2
88 60 88 168 46 12.5 37 1
82 66 86 164 43 10 36 2
84 60 88 167 47 12.5 36 3
86 62 86 165 48 15 36 1
99.0 62.0 89.0 165 44 10 37 2
110 60 90 175 60 20 38 2
88 64 88 164 49 12.5 37 3
88 25 92 158 49 10 37 3
78 80 62 160 40 10 36 3
110 83 94 172 75 15 41 3
81 63 86 170 47 10 38 2
85 62 86 162 90 12.5 36 3
88 64 87 165 52 15 36 1
88 60 89 171 48 17.5 39 1
90 71 91 163 50 15 37.0 2
85 64 80 136 47 12.5 36 3
83 86 64 172 48 12.5 38 3
88 66 86 172 45 12.5 38 1
85 58 84 163 40 15 35 3
84 70 95 176 53 15 39 3
78 84 63 167 42 10 39 3
86 63 88 168 46 15 36 2
88 90 62 174 52 10 39 1
83 60 86 165 45 12.5 38 2
80 70 80 160 45 12.5 35 2
85 63 86 169 45 15 36 1
85 59 87 166 47 15 38 1
83 60 86 168 48 15 38 1
85 59 87 166 47 15 38 1
83 61 89 170 50 12.5 38 2
82 64 88 165 45 10 36 3
82.0 61.0 85.0 163 95 10 37 3
82.0 61.0 85.0 166.5 47.0 10 37.0 1
84 62 86 164 48 10 36 2
80 60 84 169 46 10 38 2
82.0 63.5 90.0 168 52 12.5 38 1
80 65 86 164 45 10 37 1
84 62 94 163 49 12.5 37 2
78 65 85 165 47 10 37 2
83 61 80 165 46 10 35 3
80.5 73.5 72.0 164.0 43.5 12.5 36.0 1
79 62 87 163 42 12.5 36 3
82 85 57 165 45 12.5 36 2
89 62 90 167 48 15 38 2
89 61 88 170 51 10 36 1
75 65 85 165 42 12.5 36 3
85 60 88 162 45 15 35 3
81.0 59.5 81.5 164.5 43.5 12.5 36.5 1
82 61 81 165 40 12.5 37 3
81.0 60.0 85.5 164 47 12.5 36 2
81.0 60.0 85.5 169 48 11.25 40 3
80 58 82 163 42 12.5 36 3
82 61.5 85.0 168 48 10 36 3
84 62 89 170 54 12.5 39 2
80 61 81 164 46 12.5 35 3
86 88 64 175 46.0 12.5 39 1
90 66 86 165 49 15 38 1
82 60 86 165 43 15 36 2
89 72 93 166 48 12.5 37 1
84 57 84.5 165 47 12.5 36 2
75 63 84 158 39 12.5 34 2
36 24 85 179 118 10 39 1
77 81 56 155 39 12.5 35 2
84 63 85 172 45 10 38 1
82 52 80 165 42 12.5 36 2
82 63 88 169 97 15 38 1
85 68 90 167 48 12.5 37 1
85 71 83 162 43 12.5 35 1
80 70 84 166 50 12.5 37 1
83 64 65.0 165 45 10 37 2
82 62 80 172 54 12.5 39 2
50 50 50 160 92 12.5 36 3
80 58 83 163 45 10 38 2
83 58 76 160 44 10 35 3
88.5 68.5 88.5 171 50 10 39 3
88 70 90 174 55 10 38 2
86.5 68.5 93.5 167 49 10 37 1
89 67 87 167 50 12.5 38 2
84 70 100 172 106 12.5 38 1
82 72 85 164 44 10 36 3
75 63 85 164 50 10 37 2
83 62 88 162 90 12.5 35 1
85 72 98 160 50 15 38 1
